layer,question,metric,run_id_or_group,value,unit,evidence_type,time_basis,source_file,source_locator,availability,confidence
L2,Did update continuity or freshness degrade?,target_gap_max_ms,202607271108,113.37804794311523,ms,diagnostic,message header/source,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271108/log/perception.log.INFO.20260727-110708.340114,stable target Fusion observations,available,medium-high: target ID continuity checked
L2,Did update continuity or freshness degrade?,data_age_target_at_t2_data_observed_ms,202607271108,300.6410598754883,ms,data-derived,wall/header aligned,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271108/log/perception.log.INFO.20260727-110708.340114,last target source timestamp preceding physical t2,available,medium: source/header semantics from parser
L3,How long from target source to sustained physical response?,T_e2e_data_observed_ms,202607271108,300.6410598754883,ms,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271108/log/localization.log.INFO.20260727-110701.340102,t2_wall_s - t1_wall_s; t1 also uses Fusion source timestamp,available,high: common wall time and fixed endpoints
L4,Was the independently derived 0 m contact deadline missed?,tau_dynamic_data_derived_ms,202607271108,504.6556845074593,ms,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271108/log/localization.log.INFO.20260727-110701.340102,(D1 - full observed D_brake) / v1,available,medium-high: same-run full-stop braking envelope
L4,What does a baseline-calibrated independent deadline predict?,tau_dynamic_model_predicted_ms,202607271108,485.08364205677634,ms,model-predicted,wall,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_six_layer_analysis/tables/run_level_model_predicted.csv,baseline median effective-deceleration model,available,medium: descriptive in-sample calibration
L5,How much distance was consumed before physical response?,D_delay_wall_integral_data_observed_m,202607271108,5.284453642764105,m,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271108/log/localization.log.INFO.20260727-110701.340102,trapezoidal integral of speed from t1 to t2,available,high: common wall-clock integration
L5,How much incremental distance was traveled after the data-derived deadline?,D_distance_debt_data_derived_m,202607271108,0.0,m,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271108/log/localization.log.INFO.20260727-110701.340102,trapezoidal integral from t_deadline to t2,available,medium-high: observed full-stop deadline
L6,What physical safety outcome was observed?,outcome_data_observed,202607271108,safe_stop,category,direct observed,wall/sim evidence separated,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271108/log/localization.log.INFO.20260727-110701.340102,CollisionSensor/actor history for collisions; braking endpoint and event absence for stops,available,MEDIUM_HIGH_STOP_TRAJECTORY_NO_ACTOR_HISTORY
L1,What temporal disturbance entered the closed loop?,bridge_delay_actual_wall_data_observed_ms,202607271113,0.067197,ms,direct observed,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271113/log/scb_control_delay_20260727111120_615920.csv,SCB requested/actual delay and lifecycle rows,available,high: independent bridge/SCB log
L2,Did update continuity or freshness degrade?,target_gap_max_ms,202607271113,285.7990264892578,ms,diagnostic,message header/source,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271113/log/perception.log.INFO.20260727-111146.394244,stable target Fusion observations,available,medium-high: target ID continuity checked
L2,Did update continuity or freshness degrade?,data_age_target_at_t2_data_observed_ms,202607271113,299.79610443115234,ms,data-derived,wall/header aligned,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271113/log/perception.log.INFO.20260727-111146.394244,last target source timestamp preceding physical t2,available,medium: source/header semantics from parser
L3,How long from target source to sustained physical response?,T_e2e_data_observed_ms,202607271113,299.79610443115234,ms,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271113/log/localization.log.INFO.20260727-111139.394230,t2_wall_s - t1_wall_s; t1 also uses Fusion source timestamp,available,high: common wall time and fixed endpoints
L4,Was the independently derived 0 m contact deadline missed?,tau_dynamic_data_derived_ms,202607271113,498.5079467081604,ms,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271113/log/localization.log.INFO.20260727-111139.394230,(D1 - full observed D_brake) / v1,available,medium-high: same-run full-stop braking envelope
L4,What does a baseline-calibrated independent deadline predict?,tau_dynamic_model_predicted_ms,202607271113,510.5696521203918,ms,model-predicted,wall,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_six_layer_analysis/tables/run_level_model_predicted.csv,baseline median effective-deceleration model,available,medium: descriptive in-sample calibration
L5,How much distance was consumed before physical response?,D_delay_wall_integral_data_observed_m,202607271113,5.2312645659572246,m,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271113/log/localization.log.INFO.20260727-111139.394230,trapezoidal integral of speed from t1 to t2,available,high: common wall-clock integration
L5,How much incremental distance was traveled after the data-derived deadline?,D_distance_debt_data_derived_m,202607271113,0.0,m,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271113/log/localization.log.INFO.20260727-111139.394230,trapezoidal integral from t_deadline to t2,available,medium-high: observed full-stop deadline
L6,What physical safety outcome was observed?,outcome_data_observed,202607271113,safe_stop,category,direct observed,wall/sim evidence separated,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271113/log/localization.log.INFO.20260727-111139.394230,CollisionSensor/actor history for collisions; braking endpoint and event absence for stops,available,MEDIUM_HIGH_STOP_TRAJECTORY_NO_ACTOR_HISTORY
L1,What temporal disturbance entered the closed loop?,bridge_delay_actual_wall_data_observed_ms,202607271131,300.046735,ms,direct observed,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/scb_control_delay_20260727112916_095377.csv,SCB requested/actual delay and lifecycle rows,available,high: independent bridge/SCB log
L2,Did update continuity or freshness degrade?,target_gap_max_ms,202607271131,507.43889808654785,ms,diagnostic,message header/source,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/perception.log.INFO.20260727-112942.476004,stable target Fusion observations,available,medium-high: target ID continuity checked
L2,Did update continuity or freshness degrade?,data_age_target_at_t2_data_observed_ms,202607271131,400.4209041595459,ms,data-derived,wall/header aligned,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/perception.log.INFO.20260727-112942.476004,last target source timestamp preceding physical t2,available,medium: source/header semantics from parser
L3,How long from target source to sustained physical response?,T_e2e_data_observed_ms,202607271131,799.6358871459961,ms,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/localization.log.INFO.20260727-112935.475992,t2_wall_s - t1_wall_s; t1 also uses Fusion source timestamp,available,high: common wall time and fixed endpoints
L4,Was the independently derived 0 m contact deadline missed?,tau_dynamic_data_derived_ms,202607271131,,ms,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/localization.log.INFO.20260727-112935.475992,(D1 - full observed D_brake) / v1,unavailable,unavailable: collision truncates full stop
L4,What does a baseline-calibrated independent deadline predict?,tau_dynamic_model_predicted_ms,202607271131,512.2701616920314,ms,model-predicted,wall,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_six_layer_analysis/tables/run_level_model_predicted.csv,baseline median effective-deceleration model,available,medium: descriptive in-sample calibration
L5,How much distance was consumed before physical response?,D_delay_wall_integral_data_observed_m,202607271131,13.432027958524642,m,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/localization.log.INFO.20260727-112935.475992,trapezoidal integral of speed from t1 to t2,available,high: common wall-clock integration
L5,How much incremental distance was traveled after the data-derived deadline?,D_distance_debt_data_derived_m,202607271131,,m,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/localization.log.INFO.20260727-112935.475992,trapezoidal integral from t_deadline to t2,unavailable,unavailable: full-stop deadline or pre-cause window missing
L6,What physical safety outcome was observed?,outcome_data_observed,202607271131,collision,category,direct observed,wall/sim evidence separated,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/carla_collision_events_20260727113204.csv,CollisionSensor/actor history for collisions; braking endpoint and event absence for stops,available,HIGH_DIRECT_COLLISION_EVENT_AND_ACTOR_HISTORY
L1,What temporal disturbance entered the closed loop?,bridge_delay_actual_wall_data_observed_ms,202607271202,300.317662,ms,direct observed,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271202/log/scb_control_delay_20260727120015_720898.csv,SCB requested/actual delay and lifecycle rows,available,high: independent bridge/SCB log
L2,Did update continuity or freshness degrade?,target_gap_max_ms,202607271202,188.02809715270996,ms,diagnostic,message header/source,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271202/log/perception.log.INFO.20260727-120044.597402,stable target Fusion observations,available,medium-high: target ID continuity checked
L2,Did update continuity or freshness degrade?,data_age_target_at_t2_data_observed_ms,202607271202,299.65686798095703,ms,data-derived,wall/header aligned,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271202/log/perception.log.INFO.20260727-120044.597402,last target source timestamp preceding physical t2,available,medium: source/header semantics from parser
L3,How long from target source to sustained physical response?,T_e2e_data_observed_ms,202607271202,699.1548538208008,ms,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271202/log/localization.log.INFO.20260727-120037.597370,t2_wall_s - t1_wall_s; t1 also uses Fusion source timestamp,available,high: common wall time and fixed endpoints
L4,Was the independently derived 0 m contact deadline missed?,tau_dynamic_data_derived_ms,202607271202,749.5795586026107,ms,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271202/log/localization.log.INFO.20260727-120037.597370,(D1 - full observed D_brake) / v1,available,medium-high: same-run full-stop braking envelope
L4,What does a baseline-calibrated independent deadline predict?,tau_dynamic_model_predicted_ms,202607271202,696.801893842447,ms,model-predicted,wall,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_six_layer_analysis/tables/run_level_model_predicted.csv,baseline median effective-deceleration model,available,medium: descriptive in-sample calibration
L5,How much distance was consumed before physical response?,D_delay_wall_integral_data_observed_m,202607271202,11.749044628602803,m,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271202/log/localization.log.INFO.20260727-120037.597370,trapezoidal integral of speed from t1 to t2,available,high: common wall-clock integration
L5,How much incremental distance was traveled after the data-derived deadline?,D_distance_debt_data_derived_m,202607271202,0.0,m,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271202/log/localization.log.INFO.20260727-120037.597370,trapezoidal integral from t_deadline to t2,available,medium-high: observed full-stop deadline
L6,What physical safety outcome was observed?,outcome_data_observed,202607271202,safe_stop,category,direct observed,wall/sim evidence separated,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271202/log/localization.log.INFO.20260727-120037.597370,CollisionSensor/actor history for collisions; braking endpoint and event absence for stops,available,MEDIUM_HIGH_STOP_TRAJECTORY_NO_ACTOR_HISTORY
L1,What temporal disturbance entered the closed loop?,bridge_delay_actual_wall_data_observed_ms,202607271206,300.072552,ms,direct observed,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271206/log/scb_control_delay_20260727120437_710463.csv,SCB requested/actual delay and lifecycle rows,available,high: independent bridge/SCB log
L2,Did update continuity or freshness degrade?,target_gap_max_ms,202607271206,112.78891563415527,ms,diagnostic,message header/source,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271206/log/perception.log.INFO.20260727-120504.657901,stable target Fusion observations,available,medium-high: target ID continuity checked
L2,Did update continuity or freshness degrade?,data_age_target_at_t2_data_observed_ms,202607271206,400.58112144470215,ms,data-derived,wall/header aligned,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271206/log/perception.log.INFO.20260727-120504.657901,last target source timestamp preceding physical t2,available,medium: source/header semantics from parser
L3,How long from target source to sustained physical response?,T_e2e_data_observed_ms,202607271206,800.753116607666,ms,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271206/log/localization.log.INFO.20260727-120456.657888,t2_wall_s - t1_wall_s; t1 also uses Fusion source timestamp,available,high: common wall time and fixed endpoints
L4,Was the independently derived 0 m contact deadline missed?,tau_dynamic_data_derived_ms,202607271206,720.2664666974033,ms,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271206/log/localization.log.INFO.20260727-120456.657888,(D1 - full observed D_brake) / v1,available,medium-high: same-run full-stop braking envelope
L4,What does a baseline-calibrated independent deadline predict?,tau_dynamic_model_predicted_ms,202607271206,652.1970361625639,ms,model-predicted,wall,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_six_layer_analysis/tables/run_level_model_predicted.csv,baseline median effective-deceleration model,available,medium: descriptive in-sample calibration
L5,How much distance was consumed before physical response?,D_delay_wall_integral_data_observed_m,202607271206,13.74109871705313,m,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271206/log/localization.log.INFO.20260727-120456.657888,trapezoidal integral of speed from t1 to t2,available,high: common wall-clock integration
